ID,Objekt,Etage,Verortung,Parkplatz,Parkplatz,Position,Farbe,Symbole,Typografie,Inhalt,Elektrisch,Beschädigt,Foto,Notizen
164,Feuerlöscher,6,Gegenüber von,,,column,red,true,true,"neuruppin Feuerlöscher",false,false,http://parkhaus.digitalisat.com/media/pages/objects/6/0ccb2cd098-1706622637/img_7235.jpg,""
165,Müll,6,Auf,,,floor,orange,true,false,"",false,false,http://parkhaus.digitalisat.com/media/pages/objects/6/c59925c5d0-1706623426/img_7212.jpg,""
166,Mülleimer,6,Gegenüber von,,,wall,orange,true,false,"",false,false,http://parkhaus.digitalisat.com/media/pages/objects/6/9b5b860c21-1707643851/mulli.jpeg,""
167,Mülleimer,6,Gegenüber von,,,column,orange,true,false,"",false,false,http://parkhaus.digitalisat.com/media/pages/objects/6/c43f80dc47-1706622899/img_7233.jpg,""
168,Steckdose,6,Gegenüber von,,,wall,grey,true,true,"TEP",true,false,http://parkhaus.digitalisat.com/media/pages/objects/6/34c513a095-1706631171/img_7191.jpg,""
169,Steckdose,6,Gegenüber von,,,wall,grey,true,true,"TEP",true,false,http://parkhaus.digitalisat.com/media/pages/objects/6/14fa25f72f-1706631033/img_7228.jpg,""
170,Telefon,6,Gegenüber von,,,wall,grey,false,true,"1234567890",true,false,http://parkhaus.digitalisat.com/media/pages/objects/6/1a051225ab-1706622973/img_7232.jpg,""
171,Alarm,7,Gegenüber von,,,wall,red,true,true,"5007/01",true,false,http://parkhaus.digitalisat.com/media/pages/objects/7/7fd59b79ca-1706625509/img_7172.jpg,""
172,Alarm,7,Gegenüber von,,,wall,red,true,true,"5007/02",true,false,http://parkhaus.digitalisat.com/media/pages/objects/7/6fdd5660f7-1706625693/img_7146.jpg,""
173,Aufzug,7,Gegenüber von,,,wall,silver,true,true,"7",true,false,http://parkhaus.digitalisat.com/media/pages/objects/7/b8e84258d5-1706627559/img_7158.jpg,""
174,Beleuchtung,7,Zwischen,,2,ceiling,,false,false,"",true,false,,""
175,Beleuchtung,7,Vor,,,ceiling,,false,false,"",true,false,,""
176,Beleuchtung,7,Vor,,,ceiling,,false,false,"",true,false,,""
177,Beleuchtung,7,Zwischen,,37,ceiling,,false,false,"",true,false,,""
178,Beleuchtung,7,Zwischen,,34,ceiling,,false,false,"",true,false,,""
179,Beleuchtung,7,Zwischen,,31,ceiling,,false,false,"",true,false,,""
180,Beleuchtung,7,Vor,,,ceiling,,false,false,"",true,false,,""
181,Beleuchtung,7,Vor,,,ceiling,,false,false,"",true,false,,""
182,Beleuchtung,7,Vor,,,ceiling,,false,false,"",true,false,,""
183,Beleuchtung,7,Gegenüber von,,,wall,,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/7/55b33d4be2-1706627615/img_7159.jpg,""
184,Bewegungsmelder,7,Auf,,,wall,grey,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/7/c6ec102547-1707583591/img_7411.jpg,""
185,Bewegungsmelder,7,Vor,,,ceiling,grey,false,false,"",true,false,http://parkhaus.digitalisat.com/media/pages/objects/7/292ee4be1a-1707583607/7-14.jpg,""
186,Feuerlöscher,7,Gegenüber von,,,column,red,true,true,"TOTAL Feuerlöscher",false,false,http://parkhaus.digitalisat.com/media/pages/objects/7/3c9a3378f4-1706625821/img_7145.jpg,""
187,Feuerlöscher,7,Gegenüber von,,,column,red,true,true,"TOTAL Feuerlöscher",false,false,http://parkhaus.digitalisat.com/media/pages/objects/7/424b1a48fe-1706624983/img_7175.jpg,""
188,Leuchtkasten,7,Gegenüber von,,,wall,white,false,false,"",true,true,http://parkhaus.digitalisat.com/media/pages/objects/7/9c109e07fb-1706627433/img_7157.jpg,""
189,Müll,7,Auf,,,floor,gold,false,true,"Krombacher",false,false,http://parkhaus.digitalisat.com/media/pages/objects/7/c2401028f3-1706627915/img_7184.jpg,""
190,Mülleimer,7,Gegenüber von,,,floor,grey,false,false,"",false,true,http://parkhaus.digitalisat.com/media/pages/objects/7/6e70225f1d-1706627700/img_7171.jpg,""
